30-03-2023 21:03:25 Lightman Schmoogle Stn Haboo Blak   || 1:1 ||  Toxic Uphill Naicrez Ronin Zery EU
30-03-2023 21:42:34 Toxic Zery Mitter Naicrez Ronin   || 0:1 ||  Schmoogle Stn Haboo Blak Lightman EU
30-03-2023 22:07:42 Toxic Ronin Schmoogle Suddi Zery   || 1:0 ||  Lightman Mitter Naicrez Stn Blak EU
31-03-2023 21:58:12 Ronin Schmoogle Stn Uphill Zery   || 1:3 ||  Toxic Lightman Foy Naicrez Suddi EU
31-03-2023 22:41:12 Toxic Lightman Naicrez Becket Schmoogle   || 0:1 ||  Slime Ronin Blak Haboo Uphill EU
31-03-2023 23:40:28 Lightman Naicrez Haboo Uphill Timo   || 2:0 ||  Toxic Slime Ronin Becket Blak EU
01-04-2023 22:47:32 Lightman Becket Haboo Uphill Diddy   || 0:1 ||  Toxic Sora Foy Zery Blak NY
02-04-2023 14:24:38 Timo Becket Haboo Uphill Diddy   || 3:1 ||  Toxic Suddi Sora Foy Blak EU
25-05-2023 20:39:09 Kilg Lightman Elytic Blak Zery   || 0:1 ||  Toxic Timo Becket Uphill Bobby EU
25-05-2023 20:59:15 Toxic Kilg Becket Blak Zery   || 1:0 ||  Alex Elytic Timo Uphill Bobby EU
25-05-2023 21:44:05 Alex Elytic Becket Uphill Bobby   || 1:1 ||  Toxic Kilg Timo Blak Zery EU
31-05-2023 22:29:01 Elytic Timo Foy Uphill Bobby   || 0:0 ||  Toxic M-kon Titan Becket Zery EU
31-05-2023 22:30:50 Toxic Timo Foy Zery Uphill   || 1:0 ||  M-kon Titan Elytic Becket Bobby EU
01-06-2023 21:40:42 Kilg Becket Blak Uphill Hero   || 0:3 ||  Noface M-kon Mitter Ronin Zery EU
01-06-2023 22:07:25 Noface M-kon Nookie Ronin Blak   || 0:1 ||  Kilg Becket Zery Uphill Elytic EU
17-06-2023 00:08:36 Mitter Blak Suddi Uphill Elytic   || 2:2 ||  Timo Bobby Diddy Toxic Becket EU
17-06-2023 00:17:12 Elytic Zery Mitter Eppixx Stn   || 1:2 ||  Suddi Becket Diddy Timo Uphill EU
17-06-2023 00:22:11 Elytic Nookie Mitter Becket Stn   || 2:1 ||  Suddi Zery Diddy Timo Uphill EU
18-06-2023 09:21:19 Suddi Stn Nookie Diddy Zim   || 0:1 ||  Becket Blak Timo Uphill Zery EU
18-06-2023 21:58:54 Timo Diddy Bobby Alex Elytic   || 1:2 ||  Slime Becket Zery Mitter Suddi NY
18-06-2023 23:07:43 Slime Diddy Bobby Suddi Elytic   || 2:2 ||  Timo Becket Zery Mitter Blak NY
27-06-2023 17:54:00 Suddi Timo Becket Elytic Sora   || 3:0 ||  Titan Bobby Diddy Haboo Zery NY
27-06-2023 17:58:12 Suddi Nookie Becket Elytic Sora   || 1:1 ||  Timo Bobby Diddy Squishy Zery NY
27-06-2023 18:00:00 Suddi Nookie Becket Elytic Uphill   || 0:1 ||  Timo Bobby Diddy Squishy Zery NY
28-06-2023 22:06:25 Tark Becket Foy Uphill Ronin   || 1:0 ||  Daire Zery Titan Mitter Blak NY
28-06-2023 22:43:47 Daire Zery Mitter Blak Ronin   || 1:1 ||  Tark Becket Bobby Titan Uphill NY
05-07-2023 11:25:55 Zery Ruski Uphill Blak Ronin   || 0:1 ||  Toxic Daire Becket Bobby Mitter EU
05-07-2023 11:29:33 Suddi Grim Becket Mitter Uphill   || 1:1 ||  Timo Squishy Titan Zery Daire EU
05-07-2023 11:32:25 Suddi Timo Toxic Elytic Uphill   || 2:0 ||  Becket Mitter Titan Zery Foy EU
05-07-2023 11:34:41 Suddi Timo Noface Elytic Uphill   || 0:2 ||  Becket Mitter Toxic Zery Foy EU
08-07-2023 22:31:40 Toxic Foy Becket Naicrez Zery   || 0:1 ||  Timo Elytic Diddy Blak Suddi EU
08-07-2023 23:05:32 Toxic Foy Zery Blak Suddi   || 2:0 ||  Becket Naicrez Timo Elytic Diddy EU
08-07-2023 23:25:03 Toxic Timo Elytic Zery Blak   || 0:1 ||  Foy Becket Naicrez Diddy Suddi EU
08-07-2023 23:58:15 Toxic Diddy Becket Elytic Timo   || 2:2 ||  Haboo Foy Naicrez Blak Suddi EU
16-07-2023 23:23:12 Uphill Zery Becket Elytic Naicrez   || 0:1 ||  Toxic Diddy Mitter Stn Suddi EU
17-07-2023 09:26:45 Uphill Zery Becket Elytic Naicrez   || 2:2 ||  Toxic Diddy Mitter Stn Suddi EU
18-07-2023 23:27:18 Toxic Squishy Naicrez Nookie Blak   || 0:1 ||  Becket Timo Bobby Titan Suddi EU
19-07-2023 00:27:50 Skitts Squishy Becket Naicrez Timo   || 1:2 ||  Nookie Bobby Toxic Blak Suddi EU
19-07-2023 01:10:57 Skitts Squishy Becket Naicrez Timo   || 1:2 ||  Nookie Bobby Toxic Blak Suddi EU
19-07-2023 01:14:30 Toxic Squishy Becket Bobby Timo   || 1:1 ||  Nookie Naicrez Skitts Blak Suddi EU
19-07-2023 19:16:41 Squishy Zery Naicrez Bobby Blak   || 0:1 ||  Toxic Haboo Mitter Becket Suddi EU
